v,p
8.758758759,92
8.783783784,93
8.808808809,93
8.833833834,94
8.858858859,94
8.883883884,95
8.908908909,95
8.933933934,96
8.958958959,96
8.983983984,97
9.009009009,97
9.034034034,98
9.059059059,99
9.084084084,99
9.109109109,100
9.134134134,100
9.159159159,101
9.184184184,101
9.209209209,102
9.234234234,103
9.259259259,103
9.284284284,104
9.309309309,104
9.334334334,105
9.359359359,105
9.384384384,106
9.409409409,107
9.434434434,107
9.459459459,108
9.484484484,108
9.50950951,109
9.534534535,110
9.55955956,110
9.584584585,111
9.60960961,111
9.634634635,112
9.65965966,113
9.684684685,113
9.70970971,114
9.734734735,115
9.75975976,115
9.784784785,116
9.80980981,116
9.834834835,117
9.85985986,118
9.884884885,118
9.90990991,119
9.934934935,120
9.95995996,120
9.984984985,121
10.01001001,122
10.03503504,122
10.06006006,123
10.08508509,123
10.11011011,124
10.13513514,125
10.16016016,125
10.18518519,126
10.21021021,127
10.23523524,127
10.26026026,128
10.28528529,129
10.31031031,130
10.33533534,130
10.36036036,131
10.38538539,132
10.41041041,132
10.43543544,133
10.46046046,134
10.48548549,134
10.51051051,135
10.53553554,136
10.56056056,136
10.58558559,137
10.61061061,138
10.63563564,139
10.66066066,139
10.68568569,140
10.71071071,141
10.73573574,142
10.76076076,142
10.78578579,143
10.81081081,144
10.83583584,144
10.86086086,145
10.88588589,146
10.91091091,147
10.93593594,147
10.96096096,148
10.98598599,149
11.01101101,150
11.03603604,150
11.06106106,151
11.08608609,152
11.11111111,153
11.13613614,154
11.16116116,154
11.18618619,155
11.21121121,156
11.23623624,157
11.26126126,157
11.28628629,158
11.31131131,159
11.33633634,160
11.36136136,161
11.38638639,161
11.41141141,162
11.43643644,163
11.46146146,164
11.48648649,165
11.51151151,166
11.53653654,166
11.56156156,167
11.58658659,168
11.61161161,169
11.63663664,170
11.66166166,170
11.68668669,171
11.71171171,172
11.73673674,173
11.76176176,174
11.78678679,175
11.81181181,176
11.83683684,176
11.86186186,177
11.88688689,178
11.91191191,179
11.93693694,180
11.96196196,181
11.98698699,182
12.01201201,183
12.03703704,183
12.06206206,184
12.08708709,185
12.11211211,186
12.13713714,187
12.16216216,188
12.18718719,189
12.21221221,190
12.23723724,191
12.26226226,191
12.28728729,192
12.31231231,193
12.33733734,194
12.36236236,195
12.38738739,196
12.41241241,197
12.43743744,198
12.46246246,199
12.48748749,200
12.51251251,201
12.53753754,202
12.56256256,203
12.58758759,204
12.61261261,205
12.63763764,206
12.66266266,206
12.68768769,207
12.71271271,208
12.73773774,209
12.76276276,210
12.78778779,211
12.81281281,212
12.83783784,213
12.86286286,214
12.88788789,215
12.91291291,216
12.93793794,217
12.96296296,218
12.98798799,219
13.01301301,220
13.03803804,221
13.06306306,222
13.08808809,223
13.11311311,224
13.13813814,225
13.16316316,226
13.18818819,227
13.21321321,229
13.23823824,230
13.26326326,231
13.28828829,232
13.31331331,233
13.33833834,234
13.36336336,235
13.38838839,236
13.41341341,237
13.43843844,238
13.46346346,239
13.48848849,240
13.51351351,241
13.53853854,242
13.56356356,243
13.58858859,244
13.61361361,246
13.63863864,247
13.66366366,248
13.68868869,249
13.71371371,250
13.73873874,251
13.76376376,252
13.78878879,253
13.81381381,254
13.83883884,256
13.86386386,257
13.88888889,258
13.91391391,259
13.93893894,260
13.96396396,261
13.98898899,262
14.01401401,264
14.03903904,265
14.06406406,266
14.08908909,267
14.11411411,268
14.13913914,269
14.16416416,271
14.18918919,272
14.21421421,273
14.23923924,274
14.26426426,275
14.28928929,276
14.31431431,278
14.33933934,279
14.36436436,280
14.38938939,281
14.41441441,282
14.43943944,284
14.46446446,285
14.48948949,286
14.51451451,287
14.53953954,289
14.56456456,290
14.58958959,291
14.61461461,292
14.63963964,293
14.66466466,295
14.68968969,296
14.71471471,297
14.73973974,298
14.76476476,300
14.78978979,301
14.81481481,302
14.83983984,304
14.86486486,305
14.88988989,306
14.91491491,307
14.93993994,309
14.96496496,310
14.98998999,311
15.01501502,313
15.04004004,314
15.06506507,315
15.09009009,317
15.11511512,318
15.14014014,319
15.16516517,320
15.19019019,322
15.21521522,323
15.24024024,324
15.26526527,326
15.29029029,327
15.31531532,328
15.34034034,330
15.36536537,331
15.39039039,333
15.41541542,334
15.44044044,335
15.46546547,337
15.49049049,338
15.51551552,339
15.54054054,341
15.56556557,342
15.59059059,344
15.61561562,345
15.64064064,346
15.66566567,348
15.69069069,349
15.71571572,351
15.74074074,352
15.76576577,353
15.79079079,355
